"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","5.0",""
"Albania","2008","","","Rural","","6.4",""
"Albania","2008","","","","Q1 (Poorest)","8.4",""
"Albania","2008","","","","Q2","2.9",""
"Albania","2008","","","","Q3","7.3",""
"Albania","2008","","","","Q4","4.7",""
"Albania","2008","","","","Q5 (Richest)","5.1",""
"Albania","2008","","Primary","","","5.5",""
"Albania","2008","","Secondary or higher","","","6.7",""
"Albania","2008","Female","","","","5.4",""
"Albania","2008","Male","","","","6.3",""
"Armenia","2010","","","Urban","","2.2",""
"Armenia","2010","","","Rural","","8.8",""
"Armenia","2010","","","","Q1 (Poorest)","11.7",""
"Armenia","2010","","","","Q2","6.6",""
"Armenia","2010","","","","Q3","3.3",""
"Armenia","2010","","","","Q4","2.1",""
"Armenia","2010","","","","Q5 (Richest)","0.9",""
"Armenia","2010","","Secondary or higher","","","5.0",""
"Armenia","2010","Female","","","","5.3",""
"Armenia","2010","Male","","","","4.7",""
"Armenia","2005","","","Urban","","5.0",""
"Armenia","2005","","","Rural","","4.4",""
"Armenia","2005","","","","Q1 (Poorest)","5.1",""
"Armenia","2005","","","","Q2","2.2",""
"Armenia","2005","","","","Q3","4.3",""
"Armenia","2005","","","","Q4","7.2",""
"Armenia","2005","","","","Q5 (Richest)","5.2",""
"Armenia","2005","","Secondary or higher","","","4.8",""
"Armenia","2005","Female","","","","6.9",""
"Armenia","2005","Male","","","","3.0",""
"Azerbaijan","2006","","","Urban","","3.7",""
"Azerbaijan","2006","","","Rural","","10.6",""
"Azerbaijan","2006","","","","Q1 (Poorest)","14.4",""
"Azerbaijan","2006","","","","Q2","8.7",""
"Azerbaijan","2006","","","","Q3","5.2",""
"Azerbaijan","2006","","","","Q4","2.8",""
"Azerbaijan","2006","","","","Q5 (Richest)","2.8",""
"Azerbaijan","2006","","Primary","","","12.0","1"
"Azerbaijan","2006","","Secondary or higher","","","7.0",""
"Azerbaijan","2006","Female","","","","6.0",""
"Azerbaijan","2006","Male","","","","8.3",""
"Bangladesh","2007","","","Urban","","29.3",""
"Bangladesh","2007","","","Rural","","39.4",""
"Bangladesh","2007","","","","Q1 (Poorest)","47.2",""
"Bangladesh","2007","","","","Q2","40.8",""
"Bangladesh","2007","","","","Q3","40.3",""
"Bangladesh","2007","","","","Q4","33.8",""
"Bangladesh","2007","","","","Q5 (Richest)","22.2",""
"Bangladesh","2007","","None","","","43.0",""
"Bangladesh","2007","","Primary","","","43.7",""
"Bangladesh","2007","","Secondary or higher","","","29.9",""
"Bangladesh","2007","Female","","","","36.8",""
"Bangladesh","2007","Male","","","","37.7",""
"Bangladesh","2004","","","Urban","","34.2",""
"Bangladesh","2004","","","Rural","","41.8",""
"Bangladesh","2004","","","","Q1 (Poorest)","53.9",""
"Bangladesh","2004","","","","Q2","46.1",""
"Bangladesh","2004","","","","Q3","37.6",""
"Bangladesh","2004","","","","Q4","34.8",""
"Bangladesh","2004","","","","Q5 (Richest)","23.2",""
"Bangladesh","2004","","None","","","48.9",""
"Bangladesh","2004","","Primary","","","41.8",""
"Bangladesh","2004","","Secondary or higher","","","30.3",""
"Bangladesh","2004","Female","","","","39.8",""
"Bangladesh","2004","Male","","","","40.8",""
"Benin","2006","","","Urban","","15.3",""
"Benin","2006","","","Rural","","19.3",""
"Benin","2006","","","","Q1 (Poorest)","23.3",""
"Benin","2006","","","","Q2","20.1",""
"Benin","2006","","","","Q3","19.6",""
"Benin","2006","","","","Q4","15.4",""
"Benin","2006","","","","Q5 (Richest)","9.8",""
"Benin","2006","","None","","","20.2",""
"Benin","2006","","Primary","","","13.0",""
