"Country or Area","Year(s)","Value","Value Footnotes"
"Cabo Verde","2012","18",""
"Cabo Verde","2011","10.00",""
"Cabo Verde","2010","28",""
"Cabo Verde","2009","11329",""
"Cambodia","2012","185",""
"Cambodia","2011","1096.00",""
"Cambodia","2010","85",""
"Cambodia","2009","528",""
"Cameroon","2012","147",""
"Cameroon","2011","106.00",""
"Cameroon","2010","48",""
"Cameroon","2009","33",""
"Canada","2012","2",""
"Canada","2011","2.00",""
"Canada","2010","12",""
"Canada","2009","7",""
"Central African Republic","2012","11",""
"Central African Republic","2011","15.00",""
"Central African Republic","2010","15",""
"Central African Republic","2009","32",""
"Chad","2011","0.00",""
"Chad","2010","3",""
"Chad","2009","3",""
"Chile","2012","0",""
"Chile","2011","1.00",""
"Chile","2010","0",""
"Chile","2009","0",""
"China","2012","40156",""
"China","2011","65549.00",""
"China","2010","43117",""
"China","2009","69860",""
"Colombia","2012","2",""
"Colombia","2011","1.00",""
"Colombia","2010","0",""
"Colombia","2009","4",""
"Comoros","2012","0",""
"Comoros","2010","0",""
"Comoros","2009","1",""
"Congo","2012","22",""
"Congo","2010","10",""
"Congo","2009","11",""
"Cook Islands","2012","0",""
"Cook Islands","2011","0.00",""
"Cook Islands","2010","0",""
"Cook Islands","2009","0",""
"Costa Rica","2012","0",""
"Costa Rica","2011","0.00",""
"Costa Rica","2010","0",""
"Costa Rica","2009","0",""
"Côte d’Ivoire","2012","298",""
"Côte d’Ivoire","2011","43.00",""
"Côte d’Ivoire","2010","31",""
"Côte d’Ivoire","2009","51",""
"Croatia","2012","1",""
"Croatia","2011","0.00",""
"Croatia","2010","1",""
"Croatia","2009","0",""
"Cuba","2012","0",""
"Cuba","2011","0.00",""
"Cuba","2010","0",""
"Cuba","2009","0",""
"Cyprus","2012","0",""
"Cyprus","2011","0.00",""
"Cyprus","2010","0",""
"Cyprus","2009","0",""
"Czech Republic","2012","6",""
"Czech Republic","2011","27.00",""
"Czech Republic","2010","4",""
"Czech Republic","2009","6",""
"Democratic People's Republic of Korea","2012","1",""
"Democratic People's Republic of Korea","2011","5.00",""
"Democratic People's Republic of Korea","2010","5",""
"Democratic Republic of the Congo","2012","1860",""
"Democratic Republic of the Congo","2011","318.00",""
"Democratic Republic of the Congo","2010","130",""
"Democratic Republic of the Congo","2009","110",""
"Denmark","2012","0",""
"Denmark","2011","0.00",""
"Denmark","2010","0",""
"Djibouti","2012","0",""
"Djibouti","2011","15.00",""
"Dominica","2012","0",""
"Dominica","2011","0.00",""
"Dominica","2010","0",""
"Dominica","2009","0",""
"Dominican Republic","2012","0",""
"Dominican Republic","2011","0.00",""
"Dominican Republic","2010","0",""
"Dominican Republic","2009","0",""
"Ecuador","2012","0",""
"Ecuador","2011","0.00",""
"Ecuador","2010","0",""
"Ecuador","2009","0",""
"Egypt","2012","35",""
"Egypt","2011","30.00",""
"Egypt","2010","461",""
"Egypt","2009","608",""
"El Salvador","2012","0",""
"El Salvador","2011","0.00",""
"El Salvador","2010","0",""
"El Salvador","2009","0",""
"Eritrea","2012","18",""
"Eritrea","2011","354.00",""
"Eritrea","2010","163",""
"Eritrea","2009","69",""
"Estonia","2012","0",""
"Estonia","2011","0.00",""
"Estonia","2010","0",""
"Estonia","2009","1",""
"Ethiopia","2012","795",""
"Ethiopia","2011","174.00",""
"Ethiopia","2010","130",""
"Fiji","2012","25",""
"Fiji","2010","0",""
"Fiji","2009","1",""
"Finland","2011","2.00",""
"Finland","2010","0",""
"Finland","2009","0",""
"Gabon","2012","2",""
"Gabon","2011","4.00",""
"Gabon","2010","2",""
"Gabon","2009","40",""
"Gambia","2012","39",""
"Gambia","2011","42.00",""
"Gambia","2010","14",""
"Gambia","2009","0",""
"Georgia","2012","75",""
"Georgia","2011","64.00",""
"Georgia","2010","59",""
"Georgia","2009","67",""
"Ghana","2012","272",""
"Ghana","2011","712.00",""
"Ghana","2009","133",""
"Greece","2012","0",""
"Greece","2011","0.00",""
"Greece","2010","0",""
"Greece","2009","4",""
"Grenada","2012","0",""
"Grenada","2011","0.00",""
"Grenada","2010","0",""
"Grenada","2009","0",""
"Guatemala","2012","0",""
"Guatemala","2011","0.00",""
"Guatemala","2010","0",""
"Guatemala","2009","0",""
"Guinea","2012","55",""
"Guinea","2011","34.00",""
"Guinea","2010","3",""
"Guinea","2009","7",""
"Guinea-Bissau","2012","23",""
"Guinea-Bissau","2011","3.00",""
"Guinea-Bissau","2010","0",""
"Guinea-Bissau","2009","0",""
"Guyana","2012","0",""
"Guyana","2011","0.00",""
"Guyana","2010","0",""
"Guyana","2009","0",""
"Haiti","2012","0",""
"Haiti","2011","0.00",""
"Haiti","2010","0",""
"Haiti","2009","0",""
"Honduras","2012","0",""
"Honduras","2011","0.00",""
"Honduras","2010","0",""
"Honduras","2009","0",""
"Hungary","2012","7",""
"Hungary","2011","3.00",""
"Hungary","2010","0",""
"Hungary","2009","0",""
"Iceland","2012","2",""
"Iceland","2011","0.00",""
"Iceland","2010","0",""
"Iceland","2009","0",""
"India","2012","1025",""
"Indonesia","2012","1020",""
"Indonesia","2011","1959.00",""
"Indonesia","2010","1308",""
"Indonesia","2009","2090",""
"Iran (Islamic Republic of)","2012","30",""
"Iran (Islamic Republic of)","2011","20.00",""
"Iran (Islamic Republic of)","2010","24",""
"Iran (Islamic Republic of)","2009","11",""
"Iraq","2012","22",""
"Iraq","2011","18.00",""
"Iraq","2010","15",""
"Iraq","2009","167",""
"Ireland","2012","10",""
"Ireland","2011","6.00",""
"Ireland","2010","29",""
"Ireland","2009","23",""
"Israel","2012","1",""
"Israel","2011","1.00",""
"Israel","2010","1",""
"Israel","2009","6",""
"Italy","2012","85",""
"Italy","2011","84.00",""
"Italy","2010","47",""
"Italy","2009","106",""
"Jamaica","2012","0",""
"Jamaica","2011","0.00",""
"Jamaica","2010","0",""
"Jamaica","2009","0",""
"Japan","2012","2353",""
"Japan","2011","369.00",""
"Japan","2010","89",""
"Japan","2009","148",""
"Jordan","2012","0",""
"Jordan","2011","1.00",""
"Jordan","2010","0",""
"Jordan","2009","2",""
"Kazakhstan","2012","13",""
"Kazakhstan","2011","44.00",""
"Kazakhstan","2010","3",""
"Kazakhstan","2009","622",""
"Kenya","2011","610.00",""
"Kenya","2010","473",""
"Kenya","2009","1305",""
"Kiribati","2012","0",""
"Kiribati","2011","0.00",""
"Kiribati","2010","0",""
"Kiribati","2009","0",""
"Kuwait","2012","13",""
"Kuwait","2011","38.00",""
"Kuwait","2010","26",""
"Kyrgyzstan","2012","6",""
"Kyrgyzstan","2011","3.00",""
"Kyrgyzstan","2010","2",""
"Kyrgyzstan","2009","14",""
"Lao People's Democratic Republic","2012","78",""
"Lao People's Democratic Republic","2011","169.00",""
"Lao People's Democratic Republic","2010","31",""
"Lao People's Democratic Republic","2009","124",""
"Latvia","2012","8",""
"Latvia","2011","2.00",""
"Latvia","2010","0",""
"Latvia","2009","7",""
"Lebanon","2012","3",""
"Lebanon","2011","4.00",""
"Lebanon","2010","5",""
"Lebanon","2009","21",""
"Lesotho","2012","68",""
"Lesotho","2011","172.00",""
"Lesotho","2009","0",""
"Liberia","2012","39",""
"Liberia","2011","0.00",""
"Liberia","2010","0",""
"Liberia","2009","30",""
"Libya","2012","1",""
"Libya","2009","3",""
"Lithuania","2012","0",""
"Lithuania","2011","0.00",""
"Lithuania","2010","2",""
"Lithuania","2009","0",""
"Luxembourg","2012","1",""
"Luxembourg","2011","0.00",""
"Luxembourg","2010","0",""
"Luxembourg","2009","0",""
"Madagascar","2012","110",""
"Madagascar","2011","196.00",""
"Madagascar","2010","157",""
"Madagascar","2009","193",""
"Malawi","2012","56",""
"Malawi","2011","267.00",""
"Malawi","2010","28",""
"Malawi","2009","53",""
"Malaysia","2012","789",""
"Malaysia","2011","374.00",""
"Malaysia","2010","104",""
"Maldives","2012","0",""
"Maldives","2011","1.00",""
"Maldives","2010","4",""
"Maldives","2009","0",""
"Mali","2012","19",""
"Mali","2011","125.00",""
"Mali","2010","64",""
"Mali","2009","8",""
"Malta","2011","1.00",""
"Malta","2010","0",""
"Malta","2009","0",""
"Marshall Islands","2012","0",""
"Marshall Islands","2011","0.00",""
"Marshall Islands","2010","0",""
"Marshall Islands","2009","0",""
"Mauritius","2012","9",""
"Mauritius","2011","4.00",""
"Mauritius","2010","2",""
"Mauritius","2009","2",""
"Mexico","2012","0",""
"Mexico","2011","0.00",""
"Mexico","2010","0",""
"Mexico","2009","0",""
"Micronesia (Federated States of)","2009","0",""
"Mongolia","2012","240",""
"Mongolia","2011","13.00",""
"Mongolia","2010","11",""
"Mongolia","2009","3",""
"Montenegro","2012","0",""
"Montenegro","2011","0.00",""
"Montenegro","2010","3",""
"Montenegro","2009","0",""
"Morocco","2011","8.00",""
"Morocco","2010","5",""
"Mozambique","2012","428",""
"Mozambique","2011","143.00",""
"Mozambique","2010","70",""
"Mozambique","2009","69",""
"Myanmar","2012","21",""
"Myanmar","2011","103.00",""
"Myanmar","2010","11",""
"Myanmar","2009","13",""
"Namibia","2012","42",""
"Namibia","2011","140.00",""
"Namibia","2010","22",""
"Namibia","2009","27",""
"Nauru","2011","0.00",""
"Nauru","2009","0",""
"Nepal","2012","801",""
"Nepal","2011","1175.00",""
"Nepal","2010","510",""
"Nepal","2009","1275",""
"Netherlands","2012","1",""
"Netherlands","2011","2.00",""
"Netherlands","2010","0",""
"Netherlands","2009","8",""
"New Zealand","2012","4",""
"New Zealand","2011","22.00",""
"New Zealand","2010","2",""
"New Zealand","2009","2",""
"Nicaragua","2012","0",""
"Nicaragua","2011","0.00",""
"Nicaragua","2010","0",""
"Nicaragua","2009","0",""
"Niger","2012","77",""
"Niger","2011","19.00",""
"Niger","2010","5",""
"Niger","2009","11",""
"Nigeria","2012","239",""
"Nigeria","2011","3691.00",""
"Nigeria","2010","450",""
"Nigeria","2009","234",""
"Niue","2012","0",""
"Niue","2011","0.00",""
"Niue","2010","0",""
"Niue","2009","0",""
"Norway","2012","1",""
"Norway","2011","2.00",""
"Norway","2010","0",""
"Norway","2009","0",""
"Oman","2012","13",""
"Oman","2011","1.00",""
"Oman","2010","2",""
"Oman","2009","19",""
"Pakistan","2012","483",""
"Pakistan","2011","189.00",""
"Palau","2012","0",""
"Palau","2011","0.00",""
"Palau","2010","0",""
"Palau","2009","0",""
"Panama","2012","0",""
"Panama","2011","0.00",""
"Panama","2010","0",""
"Panama","2009","0",""
"Papua New Guinea","2012","33",""
"Papua New Guinea","2011","19.00",""
"Papua New Guinea","2010","5",""
"Papua New Guinea","2009","19",""
"Paraguay","2012","0",""
"Paraguay","2011","0.00",""
"Paraguay","2010","0",""
"Paraguay","2009","0",""
"Peru","2012","0",""
"Peru","2011","0.00",""
"Peru","2010","0",""
"Peru","2009","0",""
"Philippines","2012","100",""
"Philippines","2011","926.00",""
"Philippines","2009","578",""
"Poland","2012","6263",""
"Poland","2010","4196",""
"Poland","2009","7586",""
"Portugal","2012","3",""
"Portugal","2011","0.00",""
"Portugal","2010","0",""
"Portugal","2009","3",""
"Qatar","2012","20",""
"Qatar","2011","16.00",""
"Qatar","2010","23",""
"Qatar","2009","14",""
"Republic of Korea","2012","27",""
"Republic of Korea","2011","53.00",""
"Republic of Korea","2010","21",""
"Republic of Korea","2009","37",""
"Republic of Moldova","2012","3",""
"Republic of Moldova","2011","0.00",""
"Republic of Moldova","2010","0",""
"Republic of Moldova","2009","1",""
"Romania","2012","20812",""
"Romania","2011","3494.00",""
"Romania","2010","350",""
"Romania","2009","343",""
"Russian Federation","2012","1003",""
"Russian Federation","2011","349.00",""
"Russian Federation","2010","547",""
"Russian Federation","2009","1602",""
"Rwanda","2012","172",""
"Rwanda","2011","62.00",""
"Rwanda","2010","36",""
"Rwanda","2009","34",""
"Saint Kitts and Nevis","2012","0",""
"Saint Kitts and Nevis","2011","0.00",""
"Saint Kitts and Nevis","2010","0",""
"Saint Kitts and Nevis","2009","0",""
"Saint Lucia","2012","0",""
"Saint Lucia","2011","0.00",""
"Saint Lucia","2010","0",""
"Saint Lucia","2009","0",""
"Saint Vincent and the Grenadines","2012","0",""
"Saint Vincent and the Grenadines","2011","0.00",""
"Saint Vincent and the Grenadines","2010","0",""
"Saint Vincent and the Grenadines","2009","0",""
"Samoa","2012","0",""
"Samoa","2011","1.00",""
"Samoa","2010","0",""
"Samoa","2009","0",""
"San Marino","2012","0",""
"San Marino","2011","0.00",""
"San Marino","2010","0",""
"San Marino","2009","0",""
"Sao Tome and Principe","2009","0",""
"Saudi Arabia","2012","18",""
"Saudi Arabia","2010","35",""
"Saudi Arabia","2009","12",""
"Senegal","2012","44",""
"Senegal","2011","141.00",""
"Senegal","2010","50",""
"Senegal","2009","55",""
"Serbia","2012","14",""
"Serbia","2011","14.00",""
"Serbia","2010","14",""
"Serbia","2009","27",""
"Seychelles","2012","0",""
"Seychelles","2011","0.00",""
"Seychelles","2010","0",""
"Seychelles","2009","0",""
"Sierra Leone","2011","54.00",""
"Sierra Leone","2010","2",""
"Singapore","2012","64",""
"Singapore","2011","110.00",""
"Singapore","2010","158",""
"Singapore","2009","178",""
"Slovakia","2012","0",""
"Slovakia","2011","0.00",""
"Slovakia","2010","0",""
"Slovakia","2009","0",""
"Slovenia","2012","0",""
"Slovenia","2011","0.00",""
"Slovenia","2010","0",""
"Slovenia","2009","0",""
"Solomon Islands","2011","0.00",""
"Solomon Islands","2010","0",""
"Solomon Islands","2009","0",""
"South Africa","2012","2298",""
"South Africa","2011","3266.00",""
"South Africa","2009","2975",""
"South Sudan","2012","20",""
"Spain","2012","64",""
"Spain","2011","30.00",""
"Spain","2010","9",""
"Spain","2009","20",""
"Sri Lanka","2012","54",""
"Sri Lanka","2011","416.00",""
"Sri Lanka","2010","68",""
"Sri Lanka","2009","143",""
"Sudan","2012","191",""
"Sudan","2011","237.00",""
"Sudan","2010","345",""
"Sudan","2009","338",""
"Suriname","2012","0",""
"Suriname","2011","0.00",""
"Suriname","2010","0",""
"Suriname","2009","0",""
"Swaziland","2012","23",""
"Swaziland","2011","20.00",""
"Swaziland","2010","93",""
"Swaziland","2009","138",""
"Sweden","2012","50",""
"Sweden","2011","4.00",""
"Sweden","2010","3",""
"Sweden","2009","1",""
"Switzerland","2012","10",""
"Switzerland","2011","9.00",""
"Switzerland","2010","12",""
"Switzerland","2009","35",""
"Syrian Arab Republic","2012","1",""
"Syrian Arab Republic","2011","7.00",""
"Syrian Arab Republic","2010","20",""
"Syrian Arab Republic","2009","2",""
"Tajikistan","2012","1",""
"Tajikistan","2011","0.00",""
"Tajikistan","2010","6",""
"Tajikistan","2009","179",""
"Thailand","2012","493",""
"Thailand","2011","514.00",""
"Thailand","2010","388",""
"Thailand","2009","594",""
"The former Yugoslav Republic of Macedonia","2012","4",""
"The former Yugoslav Republic of Macedonia","2011","8.00",""
"The former Yugoslav Republic of Macedonia","2010","3",""
"The former Yugoslav Republic of Macedonia","2009","11",""
"Timor-Leste","2012","8",""
"Timor-Leste","2011","0.00",""
"Timor-Leste","2009","2",""
"Togo","2012","33",""
"Togo","2011","69.00",""
"Togo","2010","80",""
"Togo","2009","87",""
"Tonga","2012","0",""
"Tonga","2011","0.00",""
"Tonga","2010","0",""
"Tonga","2009","0",""
"Trinidad and Tobago","2012","0",""
"Trinidad and Tobago","2011","0.00",""
"Trinidad and Tobago","2010","0",""
"Trinidad and Tobago","2009","0",""
"Tunisia","2012","615",""
"Tunisia","2011","1075.00",""
"Tunisia","2010","164",""
"Tunisia","2009","98",""
"Turkey","2011","1734.00",""
"Turkey","2010","64",""
"Turkey","2009","97",""
"Turkmenistan","2012","0",""
"Turkmenistan","2011","0.00",""
"Turkmenistan","2010","0",""
"Turkmenistan","2009","0",""
"Tuvalu","2012","0",""
"Tuvalu","2011","0.00",""
"Tuvalu","2010","0",""
"Tuvalu","2009","0",""
"Uganda","2012","2027",""
"Uganda","2011","3312.00",""
"Ukraine","2012","1952",""
"Ukraine","2011","3667.00",""
"Ukraine","2010","2333",""
"United Arab Emirates","2012","30",""
"United Arab Emirates","2010","34",""
"United Kingdom","2012","70",""
"United Kingdom","2011","5.00",""
"United Kingdom","2010","31",""
"United Kingdom","2009","22",""
"United Republic of Tanzania","2012","55",""
"United Republic of Tanzania","2011","18.00",""
"United Republic of Tanzania","2010","121",""
"United Republic of Tanzania","2009","0",""
"United States of America","2012","9",""
"United States of America","2011","4.00",""
"United States of America","2009","3",""
"Uruguay","2012","0",""
"Uruguay","2011","0.00",""
"Uruguay","2010","0",""
"Uruguay","2009","0",""
"Uzbekistan","2011","23.00",""
"Uzbekistan","2010","1",""
"Uzbekistan","2009","6",""
"Venezuela (Bolivarian Republic of)","2012","0",""
"Venezuela (Bolivarian Republic of)","2011","0.00",""
"Venezuela (Bolivarian Republic of)","2010","0",""
"Venezuela (Bolivarian Republic of)","2009","0",""
"Viet Nam","2012","185",""
"Viet Nam","2011","7259.00",""
"Viet Nam","2010","2300",""
"Viet Nam","2009","1573",""
"Yemen","2012","199",""
"Yemen","2011","337.00",""
"Yemen","2010","187",""
"Yemen","2009","225",""
"Zambia","2012","134",""
"Zambia","2011","1124.00",""
"Zambia","2010","13",""
"Zimbabwe","2012","20",""
"Zimbabwe","2011","447.00",""
"Zimbabwe","2009","28",""

