"Country or Area","Year(s)","Value","Value Footnotes"
"Grenada","2011","0.00",""
"Grenada","2010","0",""
"Grenada","2009","0",""
"Guatemala","2012","143",""
"Guatemala","2011","0.00",""
"Guatemala","2010","0",""
"Guatemala","2009","1",""
"Guinea","2010","0",""
"Guinea","2009","0",""
"Guinea-Bissau","2012","0",""
"Guinea-Bissau","2011","0.00",""
"Guinea-Bissau","2010","0",""
"Guinea-Bissau","2009","0",""
"Guyana","2012","0",""
"Guyana","2011","0.00",""
"Guyana","2010","0",""
"Guyana","2009","0",""
"Haiti","2012","0",""
"Haiti","2010","0",""
"Haiti","2009","0",""
"Honduras","2012","138",""
"Honduras","2011","143.00",""
"Honduras","2010","172",""
"Honduras","2009","187",""
"Hungary","2012","4",""
"Hungary","2011","5.00",""
"Hungary","2010","0",""
"Hungary","2009","5",""
"Iceland","2012","0",""
"Iceland","2011","0.00",""
"Iceland","2010","2",""
"Iceland","2009","4",""
"Iraq","2012","1482",""
"Iraq","2011","1944.00",""
"Iraq","2010","1862",""
"Iraq","2009","2265",""
"Ireland","2012","170",""
"Ireland","2011","177.00",""
"Ireland","2010","308",""
"Ireland","2009","3660",""
"Israel","2012","93",""
"Israel","2011","301.00",""
"Israel","2010","4923",""
"Israel","2009","775",""
"Italy","2012","322",""
"Italy","2011","726.00",""
"Italy","2010","530",""
"Italy","2009","769",""
"Jamaica","2012","0",""
"Jamaica","2011","4.00",""
"Jamaica","2010","1",""
"Jamaica","2009","0",""
"Japan","2012","71549",""
"Japan","2011","137060.00",""
"Japan","2010","179635",""
"Japan","2009","104568",""
"Jordan","2012","194",""
"Jordan","2011","175.00",""
"Jordan","2010","162",""
"Jordan","2009","150",""
"Kazakhstan","2012","67",""
"Kazakhstan","2011","51.00",""
"Kazakhstan","2010","82",""
"Kazakhstan","2009","131",""
"Kenya","2012","0",""
"Kenya","2011","0.00",""
"Kiribati","2012","0",""
"Kiribati","2010","0",""
"Kiribati","2009","0",""
"Kuwait","2012","61",""
"Kuwait","2011","62.00",""
"Kuwait","2010","91",""
"Kyrgyzstan","2012","350",""
"Kyrgyzstan","2011","300.00",""
"Kyrgyzstan","2010","396",""
"Kyrgyzstan","2009","160",""
"Lao People's Democratic Republic","2011","54.00",""
"Latvia","2012","41",""
"Latvia","2011","10.00",""
"Latvia","2010","3",""
"Latvia","2009","1",""
"Lebanon","2012","12",""
"Lebanon","2011","12.00",""
"Lebanon","2010","28",""
"Lebanon","2009","135",""
"Lesotho","2012","0",""
"Lesotho","2011","0.00",""
"Lesotho","2010","0",""
"Liberia","2012","0",""
"Liberia","2011","0.00",""
"Liberia","2009","0",""
"Libya","2012","111",""
"Libya","2009","746",""
"Lithuania","2012","62",""
"Lithuania","2011","64.00",""
"Lithuania","2010","87",""
"Lithuania","2009","74",""
"Luxembourg","2012","0",""
"Luxembourg","2011","0.00",""
"Luxembourg","2010","0",""
"Luxembourg","2009","25",""
"Madagascar","2011","12.00",""
"Madagascar","2010","0",""
"Maldives","2012","14",""
"Maldives","2011","69.00",""
"Maldives","2010","50",""
"Maldives","2009","71",""
"Malta","2011","0.00",""
"Malta","2010","2",""
"Malta","2009","1",""
"Marshall Islands","2012","3",""
"Marshall Islands","2011","0.00",""
"Marshall Islands","2010","1",""
"Marshall Islands","2009","2",""
"Mauritius","2012","11",""
"Mauritius","2011","0.00",""
"Mauritius","2010","2",""
"Mauritius","2009","1",""
"Mexico","2012","5683",""
"Mexico","2011","2685.00",""
"Mexico","2010","0",""
"Mexico","2009","0",""
"Micronesia (Federated States of)","2010","684",""
"Micronesia (Federated States of)","2009","0",""
"Mongolia","2012","9060",""
"Mongolia","2011","1016.00",""
"Mongolia","2010","524",""
"Mongolia","2009","1990",""
"Montenegro","2012","104",""
"Montenegro","2011","57.00",""
"Montenegro","2010","13",""
"Montenegro","2009","9",""
"Namibia","2012","0",""
"Namibia","2011","0.00",""
"Namibia","2010","0",""
"Nauru","2011","0.00",""
"Nauru","2010","0",""
"Nauru","2009","0",""
"Nepal","2012","35874",""
"Nepal","2011","39023.00",""
"Nepal","2010","29022",""
"Nepal","2009","27880",""
"Netherlands","2012","398",""
"Netherlands","2011","610.00",""
"Netherlands","2010","562",""
"Netherlands","2009","73",""
"New Zealand","2012","26",""
"New Zealand","2011","52.00",""
"New Zealand","2010","14",""
"New Zealand","2009","21",""
"Nicaragua","2012","4",""
"Nicaragua","2011","1.00",""
"Nicaragua","2010","52",""
"Nicaragua","2009","103",""
"Niger","2012","0",""
"Niger","2010","0",""
"Nigeria","2011","0.00",""
"Niue","2012","0",""
"Niue","2011","0.00",""
"Niue","2010","1",""
"Niue","2009","0",""
"Norway","2012","30",""
"Norway","2011","16.00",""
"Norway","2010","12",""
"Norway","2009","12",""
"Oman","2012","679",""
"Oman","2011","121.00",""
"Oman","2010","575",""
"Oman","2009","635",""
"Palau","2012","0",""
"Palau","2011","0.00",""
"Palau","2010","0",""
"Palau","2009","0",""
"Panama","2012","134",""
"Panama","2011","111.00",""
"Panama","2010","81",""
"Panama","2009","154",""
"Paraguay","2012","247",""
"Paraguay","2011","283.00",""
"Paraguay","2010","132",""
"Paraguay","2009","83",""
"Peru","2011","0.00",""
"Peru","2010","0",""
"Peru","2009","0",""
"Poland","2012","2779",""
"Poland","2010","2754",""
"Poland","2009","2954",""
"Portugal","2012","158",""
"Portugal","2011","134.00",""
"Portugal","2010","140",""
"Portugal","2009","154",""
"Qatar","2012","382",""
"Qatar","2011","368.00",""
"Qatar","2010","151",""
"Qatar","2009","407",""
"Republic of Korea","2012","7147",""
"Republic of Korea","2011","6241.00",""
"Republic of Korea","2010","6104",""
"Republic of Korea","2009","6524",""
"Republic of Moldova","2012","131",""
"Republic of Moldova","2011","143.00",""
"Republic of Moldova","2010","144",""
"Republic of Moldova","2009","292",""
"Romania","2012","163",""
"Romania","2011","195.00",""
"Romania","2010","286",""
"Romania","2009","941",""
"Russian Federation","2012","394",""
"Russian Federation","2011","406.00",""
"Russian Federation","2010","510",""
"Russian Federation","2009","925",""
"Rwanda","2009","0",""
"Saint Kitts and Nevis","2012","0",""
"Saint Kitts and Nevis","2011","0.00",""
"Saint Kitts and Nevis","2010","0",""
"Saint Kitts and Nevis","2009","0",""
"Saint Lucia","2012","0",""
"Saint Lucia","2011","0.00",""
"Saint Lucia","2010","0",""
"Saint Lucia","2009","0",""
"Saint Vincent and the Grenadines","2012","0",""
"Saint Vincent and the Grenadines","2011","0.00",""
"Saint Vincent and the Grenadines","2010","0",""
"Saint Vincent and the Grenadines","2009","0",""
"Samoa","2012","0",""
"Samoa","2011","0.00",""
"Samoa","2010","1",""
"Samoa","2009","0",""
"San Marino","2012","2",""
"San Marino","2011","1.00",""
"San Marino","2010","2",""
"San Marino","2009","0",""
"Sao Tome and Principe","2009","0",""
"Saudi Arabia","2012","64",""
"Saudi Arabia","2011","26.00",""
"Saudi Arabia","2010","610",""
"Saudi Arabia","2009","138",""
"Serbia","2012","584",""
"Serbia","2011","63.00",""
"Serbia","2010","40",""
"Serbia","2009","262",""
"Seychelles","2012","0",""
"Seychelles","2011","0.00",""
"Seychelles","2010","0",""
"Seychelles","2009","0",""
"Singapore","2012","521",""
"Singapore","2011","501.00",""
"Singapore","2010","452",""
"Singapore","2009","631",""
"Slovakia","2012","5",""
"Slovakia","2011","2.00",""
"Slovakia","2010","2",""
"Slovakia","2009","5",""
"Slovenia","2012","8",""
"Slovenia","2011","4.00",""
"Slovenia","2010","5",""
"Slovenia","2009","27",""
"Solomon Islands","2012","0",""
"Solomon Islands","2011","0.00",""
"Solomon Islands","2009","0",""
"Spain","2012","9539",""
"Spain","2011","4416.00",""
"Spain","2010","2516",""
"Spain","2009","2036",""
"Sri Lanka","2012","3558",""
"Sri Lanka","2011","1129.00",""
"Sri Lanka","2010","897",""
"Sri Lanka","2009","660",""
"Suriname","2012","0",""
"Suriname","2011","0.00",""
"Suriname","2010","0",""
"Suriname","2009","0",""
"Swaziland","2012","0",""
"Swaziland","2011","6773.00",""
"Swaziland","2010","7602",""
"Sweden","2012","33",""
"Sweden","2011","38.00",""
"Sweden","2010","24",""
"Sweden","2009","34",""
"Switzerland","2010","1300",""
"Switzerland","2009","900",""
"Syrian Arab Republic","2012","52",""
"Syrian Arab Republic","2011","95.00",""
"Syrian Arab Republic","2010","145",""
"Syrian Arab Republic","2009","144",""
"Tajikistan","2012","1518",""
"Tajikistan","2011","1441.00",""
"Tajikistan","2010","1558",""
"Tajikistan","2009","1200",""
"Thailand","2012","7431",""
"Thailand","2011","9901.00",""
"Thailand","2010","15165",""
"Thailand","2009","20383",""
"The former Yugoslav Republic of Macedonia","2012","97",""
"The former Yugoslav Republic of Macedonia","2011","111.00",""
"The former Yugoslav Republic of Macedonia","2010","242",""
"The former Yugoslav Republic of Macedonia","2009","10920",""
"Timor-Leste","2012","0",""
"Timor-Leste","2011","0.00",""
"Timor-Leste","2010","0",""
"Timor-Leste","2009","0",""
"Tonga","2012","0",""
"Tonga","2011","0.00",""
"Tonga","2010","0",""
"Tonga","2009","0",""
"Trinidad and Tobago","2012","0",""
"Trinidad and Tobago","2011","0.00",""
"Trinidad and Tobago","2010","0",""
"Trinidad and Tobago","2009","0",""
"Turkey","2011","1609.00",""
"Turkey","2010","1525",""
"Turkey","2009","2180",""
"Turkmenistan","2011","31.00",""
"Turkmenistan","2010","61",""
"Turkmenistan","2009","143",""
"Tuvalu","2012","0",""
"Tuvalu","2011","0.00",""
"Tuvalu","2010","0",""
"Tuvalu","2009","0",""
"Ukraine","2012","799",""
"Ukraine","2011","955.00",""
"Ukraine","2010","951",""
"United Arab Emirates","2012","377",""
"United Arab Emirates","2010","396",""
"United Kingdom","2012","3178",""
"United Kingdom","2011","2716.00",""
"United Kingdom","2010","4527",""
"United Kingdom","2009","8670",""
"United States of America","2012","229",""
"United States of America","2011","404.00",""
"United States of America","2009","1991",""
"Uruguay","2012","113",""
"Uruguay","2010","169",""
"Uruguay","2009","256",""
"Uzbekistan","2012","2300",""
"Uzbekistan","2011","1160.00",""
"Uzbekistan","2010","1418",""
"Uzbekistan","2009","1454",""
"Venezuela (Bolivarian Republic of)","2012","0",""
"Venezuela (Bolivarian Republic of)","2011","2740.00",""
"Venezuela (Bolivarian Republic of)","2010","3353",""
"Venezuela (Bolivarian Republic of)","2009","7509",""
"Yemen","2012","5081",""
"Yemen","2011","3306.00",""
"Yemen","2010","4685",""
"Yemen","2009","5243",""
"Zambia","2009","0",""
"Zimbabwe","2012","0",""
"Zimbabwe","2009","0",""

